timestamp,url,clientip,geo.src,hour_of_day,response,agent
"Nov 11, 2019 @ 00:00:00.000",https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz,138.234.210.146,CN,0,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
"Nov 11, 2019 @ 00:00:00.000",https://www.elastic.co/downloads/beats/metricbeat,8.106.16.196,IN,0,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
"Nov 10, 2019 @ 23:24:02.493",https://cdn.elastic-elastic-elastic.org/styles/main.css,204.70.91.103,BD,23,200,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)
"Nov 10, 2019 @ 20:18:13.592",https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip,175.187.90.174,US,20,200,Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1
"Nov 10, 2019 @ 19:33:29.980",https://cdn.elastic-elastic-elastic.org/styles/ad-blocker.css,54.190.60.72,IN,19,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
"Nov 10, 2019 @ 18:53:05.228",https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css,155.29.9.237,RO,18,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
"Nov 10, 2019 @ 18:45:53.910",https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz,163.139.91.194,US,18,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
"Nov 10, 2019 @ 18:42:57.511",https://www.elastic.co/downloads/apm,213.62.75.220,NG,18,200,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)
"Nov 10, 2019 @ 18:31:30.868",https://www.elastic.co/downloads/enterprise,114.97.211.20,CN,18,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
"Nov 10, 2019 @ 18:30:42.600",https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip,55.89.141.209,VN,18,200,Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1
"Nov 10, 2019 @ 18:27:53.772",https://www.elastic.co/downloads,138.77.47.65,NG,18,200,Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1
